"identifiantUnique","nombreAbonnes"
"UC9zX2xZIJ4cnwRsgBpHGvMg",12700000
"UCeB8ArqmO-SC0GnAqjVxqow",349000
"UCNn6AaHharXIbkRleXGboiQ",4040000
"UCoeu6do5WPyhKYkwGk83pVg",1360000
"UCTcw8GqWQlFcc6ioeJQOMAQ",2030000
"UCirDOxJcfBh9tXznXVCtYtg",527000
"UCNrnx5h8mMjZEQqbbVXVMkA",504000
"UCcno7M49W0doL7An8Sj3jFw",619000
"UCnfXn5NB7hh9rn1nfIt4g4Q",301000
"UCDDE-G5xXNEEOXGigfOazmg",217000
"UChLtXXpo4Ge1ReTEboVvTDg",4190000
"UCLZBXiS9ZrIXgKBs_SMfGBQ",1450000
"UC2wKfjlioOCLP4xQMOWNcgg",14500000
"UCCCPCZNChQdGa9EkATeye4g",6550000
"UCC0aCrsMnk074Tg5JhDj8Qg",2630000
"UC4JCksJF76g_MdzPVBJoC3Q",52200000
"UCtbR0PykhOjHOMqfkbIw5kA",613000
"UC_WMMNBPLxsEZdCi20I36Xg",182000
"UCEIs9nkveW9WmYtsOcJBwTg",2260000
"UCEhFfHT4lBr2V7KKkg8XkPA",12600
"UC1nstSui0tPnJtMF2OZx5tw",891000
"UCH4BNI0-FOK2dMXoFtViWHw",5110000
"UCweWLwYQLUqpvER6UiIUqAA",126000
"UCY1kMZp36IQSyNx_9h4mpCg",47900000
"UC9PY_s84IkOV_MJwEL70sfQ",3910000
"UCRJPU0RSAJMi0U9UasUD_KQ",667000
"UC8XdUfQXhaRWsMy3nr3V4Vw",873000
"UCpRzZDzC9kHct_WcMRgxncQ",5260000
"UCnLSQu0gVHBvDHOB-fk6_hA",21200
"UCDQ2HViwQh37NhOENDRsWKw",4790000
"UC7GD8Oq_8fzCR_Szrxerszw",89300
"UCc0nOJerxC8JHf7sg3CK3Vg",130000
"UCZOAXnnIuglz3RlijWP1tRA",77000
"UC0aCRcSBdcXotfO1j6aBq6A",473000
"UCMOLiZpKXp-w5CNfqJObQUw",9370000
"UCrEVsjWt4czoG_0u8C8aIWg",113000
"UCqriI1-O0SAEla2KFiIJUZw",742000
"UCdVYkIrmr3sTvcSys7XkVbQ",681000
"UCL6JmiMXKoXS6bpP1D3bk8g",8640000
"UC14d4SF8PHtsz2W4HJSl2jw",901000
"UC7_YxT-KID8kRbqZo7MyscQ",36500000
"UCawPRIWUpGJWx-8M5BEKcFw",54700
"UCx18ywTcohtS9lpNXt8noWQ",12500000
"UCmxZw7N4Jyljr1RbSs4Ymaw",1710000
"UCoGlrIqQhFDhQJECHmK7YXg",5010000
"UCvJJ_dzjViJCoLf5uKUTwoA",3400000
